Q20	Q30	HFB_cubic	A	Z
0.0	0.0	4.951300000037008	336.0	96.0
0.0	3.0	4.6081631915258185	336.0	96.0
0.0	6.0	4.439699999900768	336.0	96.0
0.0	9.0	4.6059207464822975	336.0	96.0
0.0	12.0	4.906899999819871	336.0	96.0
0.0	15.0	5.244385698639235	336.0	96.0
0.0	18.0	5.529100000090693	336.0	96.0
0.0	21.0	5.796376773909287	336.0	96.0
0.0	24.0	6.13280000002851	336.0	96.0
0.0	27.0	6.580841872342717	336.0	96.0
0.0	30.0	7.1810000000441505	336.0	96.0
0.0	33.0	7.958048795699142	336.0	96.0
0.0	36.0	8.804500000085682	336.0	96.0
0.0	39.0	9.54867949065374	336.0	96.0
0.0	42.0	10.259100000097533	336.0	96.0
0.0	45.0	10.964357997119805	336.0	96.0
0.0	48.0	11.687000000241824	336.0	96.0
0.0	51.0	12.491348918327276	336.0	96.0
0.0	54.0	13.369400000039604	336.0	96.0
0.0	57.0	14.31843732066045	336.0	96.0
0.0	60.0	15.322100000117644	336.0	96.0
2.0	0.0	4.240208296880155	336.0	96.0
2.0	3.0	4.185026724800991	336.0	96.0
2.0	6.0	4.382765364804072	336.0	96.0
2.0	9.0	4.8633521632255	336.0	96.0
2.0	12.0	5.397392350161681	336.0	96.0
2.0	15.0	5.714638864490553	336.0	96.0
2.0	18.0	5.8888088760613755	336.0	96.0
2.0	21.0	6.115553412997542	336.0	96.0
2.0	24.0	6.3913210277605685	336.0	96.0
2.0	27.0	6.729699259096378	336.0	96.0
2.0	30.0	7.1861125743926095	336.0	96.0
2.0	33.0	7.770359596808703	336.0	96.0
2.0	36.0	8.443525829257851	336.0	96.0
2.0	39.0	9.18404502033809	336.0	96.0
2.0	42.0	9.930124670434452	336.0	96.0
2.0	45.0	10.652742055419367	336.0	96.0
2.0	48.0	11.36590204127424	336.0	96.0
2.0	51.0	12.057949195423134	336.0	96.0
2.0	54.0	12.793811649866257	336.0	96.0
2.0	57.0	13.65044623770882	336.0	96.0
2.0	60.0	14.58469398413581	336.0	96.0
4.0	0.0	3.434099999918544	336.0	96.0
4.0	3.0	3.666083454976615	336.0	96.0
4.0	6.0	4.232700000065961	336.0	96.0
4.0	9.0	5.021787970839796	336.0	96.0
4.0	12.0	5.813999999856605	336.0	96.0
4.0	15.0	6.20284419275049	336.0	96.0
4.0	18.0	6.3647999999411695	336.0	96.0
4.0	21.0	6.574103611790633	336.0	96.0
4.0	24.0	6.7797000000064145	336.0	96.0
4.0	27.0	7.0287913222382485	336.0	96.0
4.0	30.0	7.3667000000532425	336.0	96.0
4.0	33.0	7.772631420670223	336.0	96.0
4.0	36.0	8.266400000051362	336.0	96.0
4.0	39.0	8.966094496929145	336.0	96.0
4.0	42.0	9.70209999988947	336.0	96.0
4.0	45.0	10.412119063021237	336.0	96.0
4.0	48.0	11.116300000048795	336.0	96.0
4.0	51.0	11.736551942125516	336.0	96.0
4.0	54.0	12.364499999941472	336.0	96.0
4.0	57.0	13.10649450126948	336.0	96.0
4.0	60.0	13.933299999967858	336.0	96.0
6.0	0.0	2.6229857089783764	336.0	96.0
6.0	3.0	3.0680479528018623	336.0	96.0
6.0	6.0	3.883282070084533	336.0	96.0
6.0	9.0	4.907082586469187	336.0	96.0
6.0	12.0	5.886920102577278	336.0	96.0
6.0	15.0	6.554572611243202	336.0	96.0
6.0	18.0	6.9480527986743255	336.0	96.0
6.0	21.0	7.135367963110184	336.0	96.0
6.0	24.0	7.254367349320091	336.0	96.0
6.0	27.0	7.467391732065153	336.0	96.0
6.0	30.0	7.734915136810741	336.0	96.0
6.0	33.0	8.038432306395407	336.0	96.0
6.0	36.0	8.4384703910182	336.0	96.0
6.0	39.0	8.986676004849869	336.0	96.0
6.0	42.0	9.602528766692558	336.0	96.0
6.0	45.0	10.235848926626204	336.0	96.0
6.0	48.0	10.8782306732719	336.0	96.0
6.0	51.0	11.521587747443846	336.0	96.0
6.0	54.0	12.153930003842106	336.0	96.0
6.0	57.0	12.749437099697388	336.0	96.0
6.0	60.0	13.432992243459012	336.0	96.0
8.0	0.0	1.9216999999334803	336.0	96.0
8.0	3.0	2.4905524674650223	336.0	96.0
8.0	6.0	3.4237000000139233	336.0	96.0
8.0	9.0	4.554177231584617	336.0	96.0
8.0	12.0	5.654499999956897	336.0	96.0
8.0	15.0	6.623557520342729	336.0	96.0
8.0	18.0	7.345400000114751	336.0	96.0
8.0	21.0	7.649789641396637	336.0	96.0
8.0	24.0	7.804700000076991	336.0	96.0
8.0	27.0	8.032224501428573	336.0	96.0
8.0	30.0	8.254100000071048	336.0	96.0
8.0	33.0	8.50668145180316	336.0	96.0
8.0	36.0	8.844400000078167	336.0	96.0
8.0	39.0	9.229462587860326	336.0	96.0
8.0	42.0	9.686200000036479	336.0	96.0
8.0	45.0	10.196063810588385	336.0	96.0
8.0	48.0	10.741600000063045	336.0	96.0
8.0	51.0	11.39624472513242	336.0	96.0
8.0	54.0	12.053900000079011	336.0	96.0
8.0	57.0	12.563776185063034	336.0	96.0
8.0	60.0	13.150800000104937	336.0	96.0
10.0	0.0	1.4257245321277878	336.0	96.0
10.0	3.0	2.0101771687732253	336.0	96.0
10.0	6.0	2.960568598784448	336.0	96.0
10.0	9.0	4.056432802710333	336.0	96.0
10.0	12.0	5.2072169797320385	336.0	96.0
10.0	15.0	6.337672810666845	336.0	96.0
10.0	18.0	7.284235879844346	336.0	96.0
10.0	21.0	7.934438017720822	336.0	96.0
10.0	24.0	8.378065078497457	336.0	96.0
10.0	27.0	8.649290607019793	336.0	96.0
10.0	30.0	8.844625125428138	336.0	96.0
10.0	33.0	9.079905542555935	336.0	96.0
10.0	36.0	9.33446161140455	336.0	96.0
10.0	39.0	9.630053681888967	336.0	96.0
10.0	42.0	9.978995426892652	336.0	96.0
10.0	45.0	10.357623089166736	336.0	96.0
10.0	48.0	10.804590791456576	336.0	96.0
10.0	51.0	11.365017091484333	336.0	96.0
10.0	54.0	11.946536921514053	336.0	96.0
10.0	57.0	12.496582010284328	336.0	96.0
10.0	60.0	13.115527615205792	336.0	96.0
12.0	0.0	1.0793000001140172	336.0	96.0
12.0	3.0	1.5795989613689017	336.0	96.0
12.0	6.0	2.4268000001102337	336.0	96.0
12.0	9.0	3.4136480500637845	336.0	96.0
12.0	12.0	4.555800000012823	336.0	96.0
12.0	15.0	5.756034337606252	336.0	96.0
12.0	18.0	6.861699999892153	336.0	96.0
12.0	21.0	7.860151567540015	336.0	96.0
12.0	24.0	8.672100000043429	336.0	96.0
12.0	27.0	9.136035453586373	336.0	96.0
12.0	30.0	9.446099999993748	336.0	96.0
12.0	33.0	9.720510135528457	336.0	96.0
12.0	36.0	9.90829999997004	336.0	96.0
12.0	39.0	10.143882412306994	336.0	96.0
12.0	42.0	10.413200000017241	336.0	96.0
12.0	45.0	10.695854744746612	336.0	96.0
12.0	48.0	11.054400000044552	336.0	96.0
12.0	51.0	11.482558864841849	336.0	96.0
12.0	54.0	11.94350000005943	336.0	96.0
12.0	57.0	12.510179343160416	336.0	96.0
12.0	60.0	13.159500000030675	336.0	96.0
14.0	0.0	0.813450457280851	336.0	96.0
14.0	3.0	1.1383924574693083	336.0	96.0
14.0	6.0	1.7495873002408189	336.0	96.0
14.0	9.0	2.632144986080675	336.0	96.0
14.0	12.0	3.7346145637784502	336.0	96.0
14.0	15.0	4.9742582056933315	336.0	96.0
14.0	18.0	6.226110672567302	336.0	96.0
14.0	21.0	7.382011584544671	336.0	96.0
14.0	24.0	8.420071969136188	336.0	96.0
14.0	27.0	9.298256948801281	336.0	96.0
14.0	30.0	9.967289927852107	336.0	96.0
14.0	33.0	10.338586413035955	336.0	96.0
14.0	36.0	10.544297842854576	336.0	96.0
14.0	39.0	10.731491482605634	336.0	96.0
14.0	42.0	10.910818272677716	336.0	96.0
14.0	45.0	11.161205388321832	336.0	96.0
14.0	48.0	11.456277445569867	336.0	96.0
14.0	51.0	11.78215189180628	336.0	96.0
14.0	54.0	12.156760867797857	336.0	96.0
14.0	57.0	12.602172091777902	336.0	96.0
14.0	60.0	13.14467655574117	336.0	96.0
16.0	0.0	0.5799999999144347	336.0	96.0
16.0	3.0	0.7280406193458475	336.0	96.0
16.0	6.0	1.0976999999838881	336.0	96.0
16.0	9.0	1.8385320092711481	336.0	96.0
16.0	12.0	2.8330999999307096	336.0	96.0
16.0	15.0	4.036169550141494	336.0	96.0
16.0	18.0	5.348700000031386	336.0	96.0
16.0	21.0	6.564756061590742	336.0	96.0
16.0	24.0	7.759500000016487	336.0	96.0
16.0	27.0	9.030494440092298	336.0	96.0
16.0	30.0	10.101200000008248	336.0	96.0
16.0	33.0	10.680538843604154	336.0	96.0
16.0	36.0	11.054100000015751	336.0	96.0
16.0	39.0	11.325348483209382	336.0	96.0
16.0	42.0	11.502899999977672	336.0	96.0
16.0	45.0	11.738402373408462	336.0	96.0
16.0	48.0	11.958399999955873	336.0	96.0
16.0	51.0	12.209978923241579	336.0	96.0
16.0	54.0	12.515200000038021	336.0	96.0
16.0	57.0	12.81261573906886	336.0	96.0
16.0	60.0	13.220700000169018	336.0	96.0
18.0	0.0	0.35216851282893913	336.0	96.0
18.0	3.0	0.4182562041678466	336.0	96.0
18.0	6.0	0.660543509569834	336.0	96.0
18.0	9.0	1.1865810984418204	336.0	96.0
18.0	12.0	1.9720995215029689	336.0	96.0
18.0	15.0	3.0206594132905593	336.0	96.0
18.0	18.0	4.238188577372057	336.0	96.0
18.0	21.0	5.537825330604392	336.0	96.0
18.0	24.0	6.904611038757139	336.0	96.0
18.0	27.0	8.320851756063348	336.0	96.0
18.0	30.0	9.585133859109192	336.0	96.0
18.0	33.0	10.49888745800854	336.0	96.0
18.0	36.0	11.215602088606829	336.0	96.0
18.0	39.0	11.766242464567767	336.0	96.0
18.0	42.0	12.162547431766143	336.0	96.0
18.0	45.0	12.367804325534962	336.0	96.0
18.0	48.0	12.488578938748105	336.0	96.0
18.0	51.0	12.70582350150653	336.0	96.0
18.0	54.0	12.937609353957669	336.0	96.0
18.0	57.0	13.171239176670497	336.0	96.0
18.0	60.0	13.535472712217597	336.0	96.0
20.0	0.0	0.1678999999348889	336.0	96.0
20.0	3.0	0.2160773518262431	336.0	96.0
20.0	6.0	0.4020999999920605	336.0	96.0
20.0	9.0	0.7394675251016452	336.0	96.0
20.0	12.0	1.2907999999297317	336.0	96.0
20.0	15.0	2.1162784635598655	336.0	96.0
20.0	18.0	3.1462999998475425	336.0	96.0
20.0	21.0	4.445673249509127	336.0	96.0
20.0	24.0	5.868899999957648	336.0	96.0
20.0	27.0	7.2524398600271525	336.0	96.0
20.0	30.0	8.558199999979479	336.0	96.0
20.0	33.0	9.747959328036814	336.0	96.0
20.0	36.0	10.838499999943451	336.0	96.0
20.0	39.0	11.771482473770448	336.0	96.0
20.0	42.0	12.535900000002584	336.0	96.0
20.0	45.0	12.86551105325998	336.0	96.0
20.0	48.0	13.020899999919493	336.0	96.0
20.0	51.0	13.271826302170666	336.0	96.0
20.0	54.0	13.45720000010624	336.0	96.0
20.0	57.0	13.650560248224792	336.0	96.0
20.0	60.0	13.97810000003301	336.0	96.0
22.0	0.0	0.05171764910483034	336.0	96.0
22.0	3.0	0.09377269579272252	336.0	96.0
22.0	6.0	0.2420947193459142	336.0	96.0
22.0	9.0	0.48510122590960236	336.0	96.0
22.0	12.0	0.8844121390393411	336.0	96.0
22.0	15.0	1.4830474555928959	336.0	96.0
22.0	18.0	2.313657176357083	336.0	96.0
22.0	21.0	3.4360496969602536	336.0	96.0
22.0	24.0	4.709949969223089	336.0	96.0
22.0	27.0	6.002194042539486	336.0	96.0
22.0	30.0	7.274736131148529	336.0	96.0
22.0	33.0	8.570131834640051	336.0	96.0
22.0	36.0	9.864328086998285	336.0	96.0
22.0	39.0	11.150446820298384	336.0	96.0
22.0	42.0	12.277967515379714	336.0	96.0
22.0	45.0	12.98837953610564	336.0	96.0
22.0	48.0	13.476704021766636	336.0	96.0
22.0	51.0	13.834560764360504	336.0	96.0
22.0	54.0	14.063908360607456	336.0	96.0
22.0	57.0	14.209657586648973	336.0	96.0
22.0	60.0	14.43180631026189	336.0	96.0
24.0	0.0	4.3655745685100555e-11	336.0	96.0
24.0	3.0	0.03569207993859891	336.0	96.0
24.0	6.0	0.16309999997611158	336.0	96.0
24.0	9.0	0.36959513152760337	336.0	96.0
24.0	12.0	0.6874999999818101	336.0	96.0
24.0	15.0	1.1175299641254242	336.0	96.0
24.0	18.0	1.758099999940896	336.0	96.0
24.0	21.0	2.639246555056161	336.0	96.0
24.0	24.0	3.6714000000429223	336.0	96.0
24.0	27.0	4.81646505939716	336.0	96.0
24.0	30.0	5.983200000002398	336.0	96.0
24.0	33.0	7.239411165854108	336.0	96.0
24.0	36.0	8.55550000011499	336.0	96.0
24.0	39.0	10.01030295775854	336.0	96.0
24.0	42.0	11.396199999977398	336.0	96.0
24.0	45.0	12.531192785307212	336.0	96.0
24.0	48.0	13.490900000037072	336.0	96.0
24.0	51.0	14.121683961238887	336.0	96.0
24.0	54.0	14.574799999882089	336.0	96.0
24.0	57.0	14.82310996528031	336.0	96.0
24.0	60.0	15.022200000064913	336.0	96.0
26.0	0.0	0.00682899056118913	336.0	96.0
26.0	3.0	0.035369217781408224	336.0	96.0
26.0	6.0	0.1504291475721402	336.0	96.0
26.0	9.0	0.3362063618696993	336.0	96.0
26.0	12.0	0.5981247730524046	336.0	96.0
26.0	15.0	0.9395441416527319	336.0	96.0
26.0	18.0	1.4376432958124497	336.0	96.0
26.0	21.0	2.12015616640565	336.0	96.0
26.0	24.0	2.94483029791445	336.0	96.0
26.0	27.0	3.884759152359038	336.0	96.0
26.0	30.0	4.898485922427426	336.0	96.0
26.0	33.0	6.017938723040061	336.0	96.0
26.0	36.0	7.25017337956524	336.0	96.0
26.0	39.0	8.629421620862558	336.0	96.0
26.0	42.0	10.047155755659332	336.0	96.0
26.0	45.0	11.473037862204365	336.0	96.0
26.0	48.0	12.787383152601251	336.0	96.0
26.0	51.0	13.859069775033277	336.0	96.0
26.0	54.0	14.743636305469408	336.0	96.0
26.0	57.0	15.343567978794454	336.0	96.0
26.0	60.0	15.798207152052782	336.0	96.0
28.0	0.0	0.06499999998050043	336.0	96.0
28.0	3.0	0.08811544131458504	336.0	96.0
28.0	6.0	0.19359999999869615	336.0	96.0
28.0	9.0	0.36218736701994203	336.0	96.0
28.0	12.0	0.5907999999180902	336.0	96.0
28.0	15.0	0.8913314134915709	336.0	96.0
28.0	18.0	1.301799999899231	336.0	96.0
28.0	21.0	1.842154732792551	336.0	96.0
28.0	24.0	2.496099999945727	336.0	96.0
28.0	27.0	3.2306028081366094	336.0	96.0
28.0	30.0	4.065400000039517	336.0	96.0
28.0	33.0	5.015607135399478	336.0	96.0
28.0	36.0	6.096500000057858	336.0	96.0
28.0	39.0	7.292157305233559	336.0	96.0
28.0	42.0	8.585400000032678	336.0	96.0
28.0	45.0	10.085609736375773	336.0	96.0
28.0	48.0	11.564300000049116	336.0	96.0
28.0	51.0	12.988464815734915	336.0	96.0
28.0	54.0	14.326999999924737	336.0	96.0
28.0	57.0	15.404152493458241	336.0	96.0
28.0	60.0	16.261100000094302	336.0	96.0
30.0	0.0	0.17238176505634328	336.0	96.0
30.0	3.0	0.19565397802216467	336.0	96.0
30.0	6.0	0.29006624362955336	336.0	96.0
30.0	9.0	0.44480862538330257	336.0	96.0
30.0	12.0	0.6525977532473917	336.0	96.0
30.0	15.0	0.9304268838786811	336.0	96.0
30.0	18.0	1.2877058545636828	336.0	96.0
30.0	21.0	1.715976244686317	336.0	96.0
30.0	24.0	2.222570450270723	336.0	96.0
30.0	27.0	2.7864433249160356	336.0	96.0
30.0	30.0	3.4489025360780943	336.0	96.0
30.0	33.0	4.239635850004561	336.0	96.0
30.0	36.0	5.1584946114890045	336.0	96.0
30.0	39.0	6.186085705052392	336.0	96.0
30.0	42.0	7.352158342981056	336.0	96.0
30.0	45.0	8.707690225954138	336.0	96.0
30.0	48.0	10.143422082845063	336.0	96.0
30.0	51.0	11.663327258058416	336.0	96.0
30.0	54.0	13.21804748913928	336.0	96.0
30.0	57.0	14.741697942077735	336.0	96.0
30.0	60.0	15.959485618142935	336.0	96.0
32.0	0.0	0.3402999999525491	336.0	96.0
32.0	3.0	0.36533883150696056	336.0	96.0
32.0	6.0	0.44500000005064066	336.0	96.0
32.0	9.0	0.5810576191579457	336.0	96.0
32.0	12.0	0.7631999998957326	336.0	96.0
32.0	15.0	1.0110654245763726	336.0	96.0
32.0	18.0	1.3198999999221996	336.0	96.0
32.0	21.0	1.6574148420368147	336.0	96.0
32.0	24.0	2.0521999999837135	336.0	96.0
32.0	27.0	2.4900285986441304	336.0	96.0
32.0	30.0	3.017299999948591	336.0	96.0
32.0	33.0	3.6707567331686732	336.0	96.0
32.0	36.0	4.444700000060038	336.0	96.0
32.0	39.0	5.332076850028898	336.0	96.0
32.0	42.0	6.363899999871137	336.0	96.0
